protocol,subset,condition,fold,held_out,lambda,train_median_err_pct,n_train_views
LOCO_PHYSICAL_CAMERA,DIVERSE32,C2,5,brics-odroid-007_cam1,10.0,8.6435,101
LOCO_PHYSICAL_CAMERA,DIVERSE32,S1,7,brics-odroid-009_cam1,10.0,8.7757,102
LOCO_PHYSICAL_CAMERA,DIVERSE32,C1,7,brics-odroid-009_cam1,3.0,8.8379,102
LOCO_PHYSICAL_CAMERA,DIVERSE32,C2,7,brics-odroid-009_cam1,10.0,8.4268,102
LOCO_PHYSICAL_CAMERA,DIVERSE32,S1,8,brics-odroid-010_cam0,0.01,9.8634,103
LOCO_PHYSICAL_CAMERA,DIVERSE32,C1,8,brics-odroid-010_cam0,10.0,9.8283,103
LOCO_PHYSICAL_CAMERA,DIVERSE32,C2,8,brics-odroid-010_cam0,10.0,8.6435,103
LOCO_PHYSICAL_CAMERA,DIVERSE32,S1,10,brics-odroid-011_cam0,10.0,9.6245,102
LOCO_PHYSICAL_CAMERA,DIVERSE32,C1,10,brics-odroid-011_cam0,0.01,9.7407,102
LOCO_PHYSICAL_CAMERA,DIVERSE32,C2,10,brics-odroid-011_cam0,10.0,8.7683,102
LOCO_PHYSICAL_CAMERA,DIVERSE32,S1,11,brics-odroid-012_cam0,10.0,9.6245,102
LOCO_PHYSICAL_CAMERA,DIVERSE32,C1,11,brics-odroid-012_cam0,0.01,9.7407,102
LOCO_PHYSICAL_CAMERA,DIVERSE32,C2,11,brics-odroid-012_cam0,10.0,8.6395,102
